run_id,case_id,model,purpose,input_tokens,output_tokens,cached_tokens,cost_usd,latency_ms,success
G5#r1#routed_models,G5,deepseek-reasoner,responder,810,170,512,0.0001,2578.6879,True
G6#r1#routed_models,G6,deepseek-reasoner,responder,669,281,640,0.0001,3411.8425,True
G7#r1#routed_models,G7,deepseek-chat,intent,697,8,640,0.0000,694.2216,True
G7#r1#routed_models,G7,deepseek-reasoner,responder,628,306,512,0.0001,3736.2610,True
A8#r1#routed_models,A8,deepseek-chat,intent,697,9,640,0.0000,699.1863,True
A8#r1#routed_models,A8,deepseek-chat,memory,522,100,512,0.0000,1157.0144,True
A8#r1#routed_models,A8,deepseek-chat,memory,138,86,128,0.0000,1101.0129,True
A10#r1#routed_models,A10,deepseek-reasoner,responder,843,214,768,0.0001,2841.6197,True
A11#r1#routed_models,A11,deepseek-reasoner,responder,992,297,896,0.0001,3457.5613,True
A11#r1#routed_models,A11,deepseek-reasoner,responder,1124,579,896,0.0002,6918.9527,True
A12#r1#routed_models,A12,deepseek-chat,intent,686,8,640,0.0000,638.4330,True
A12#r1#routed_models,A12,deepseek-chat,planner,87,252,0,0.0001,2584.5400,True
A12#r1#routed_models,A12,deepseek-reasoner,responder,1451,286,768,0.0002,3852.6558,True
A13#r1#routed_models,A13,deepseek-chat,intent,680,9,640,0.0000,703.6305,True
B8#r1#routed_models,B8,deepseek-chat,intent,696,8,640,0.0000,1208.0501,True
B8#r1#routed_models,B8,deepseek-chat,planner,97,303,0,0.0001,3703.2439,True
B8#r1#routed_models,B8,deepseek-reasoner,responder,2360,931,512,0.0005,10419.8635,True
B9#r1#routed_models,B9,deepseek-chat,intent,690,8,640,0.0000,707.6489,True
B9#r1#routed_models,B9,deepseek-chat,planner,91,302,0,0.0001,2907.3967,True
B9#r1#routed_models,B9,deepseek-reasoner,responder,2368,389,512,0.0004,4768.3110,True
B10#r1#routed_models,B10,deepseek-chat,intent,693,8,640,0.0000,618.3548,True
B10#r1#routed_models,B10,deepseek-chat,planner,94,317,0,0.0001,3134.5765,True
B10#r1#routed_models,B10,deepseek-reasoner,responder,2388,971,512,0.0005,9896.6453,True
B11#r1#routed_models,B11,deepseek-reasoner,responder,677,200,640,0.0001,2892.1815,True
B11#r1#routed_models,B11,deepseek-reasoner,responder,809,241,768,0.0001,3008.7638,True
B12#r1#routed_models,B12,deepseek-chat,intent,699,10,640,0.0000,693.0227,True
B12#r1#routed_models,B12,deepseek-reasoner,responder,661,819,640,0.0002,10638.8202,True
B12#r1#routed_models,B12,deepseek-reasoner,responder,810,894,640,0.0003,10044.7297,True
B13#r1#routed_models,B13,deepseek-chat,intent,691,8,640,0.0000,730.5200,True
B13#r1#routed_models,B13,deepseek-chat,planner,92,296,0,0.0001,3262.0211,True
B13#r1#routed_models,B13,deepseek-reasoner,responder,1458,416,640,0.0002,4938.4504,True
B13#r1#routed_models,B13,deepseek-reasoner,responder,1588,543,1408,0.0002,5789.1088,True
B14#r1#routed_models,B14,deepseek-chat,intent,693,8,640,0.0000,697.6335,True
B14#r1#routed_models,B14,deepseek-chat,planner,94,330,0,0.0001,3675.1712,True
B14#r1#routed_models,B14,deepseek-reasoner,responder,2636,1315,640,0.0006,13205.3530,True
B15#r1#routed_models,B15,deepseek-chat,intent,701,8,640,0.0000,734.0510,True
B15#r1#routed_models,B15,deepseek-chat,planner,102,324,0,0.0001,3351.0494,True
B15#r1#routed_models,B15,deepseek-reasoner,responder,2051,776,512,0.0004,7893.0378,True
C6#r1#routed_models,C6,deepseek-chat,intent,729,10,640,0.0000,654.9169,True
C6#r1#routed_models,C6,deepseek-reasoner,responder,811,315,768,0.0001,3439.1252,True
C7#r1#routed_models,C7,deepseek-chat,intent,700,10,640,0.0000,871.4688,True
C8#r1#routed_models,C8,deepseek-reasoner,responder,762,321,640,0.0001,4105.3783,True
C9#r1#routed_models,C9,deepseek-chat,intent,779,10,768,0.0000,581.7393,True
C9#r1#routed_models,C9,deepseek-reasoner,responder,887,569,768,0.0002,5794.9207,True
C10#r1#routed_models,C10,deepseek-reasoner,responder,996,262,896,0.0001,3536.0457,True
C11#r1#routed_models,C11,deepseek-reasoner,responder,664,176,640,0.0001,2163.9736,True
C12#r1#routed_models,C12,deepseek-chat,intent,709,10,640,0.0000,855.2250,True
D7#r1#routed_models,D7,deepseek-chat,intent,706,9,640,0.0000,483.5413,True
D8#r1#routed_models,D8,deepseek-reasoner,responder,649,162,640,0.0000,1985.0447,True
D9#r1#routed_models,D9,deepseek-chat,intent,699,9,640,0.0000,620.9193,True
D10#r1#routed_models,D10,deepseek-chat,intent,694,9,640,0.0000,511.3994,True
D11#r1#routed_models,D11,deepseek-chat,intent,689,13,640,0.0000,707.9019,True
D11#r1#routed_models,D11,deepseek-reasoner,responder,681,589,640,0.0002,7287.4606,True
D12#r1#routed_models,D12,deepseek-chat,intent,696,9,640,0.0000,762.0340,True
D13#r1#routed_models,D13,deepseek-chat,intent,682,9,640,0.0000,730.1182,True
E6#r1#routed_models,E6,deepseek-chat,intent,721,9,640,0.0000,640.8669,True
E7#r1#routed_models,E7,deepseek-reasoner,responder,1118,509,1024,0.0002,6332.4287,True
E8#r1#routed_models,E8,deepseek-reasoner,responder,842,492,768,0.0002,6410.8552,True
E8#r1#routed_models,E8,deepseek-reasoner,responder,987,393,768,0.0001,4907.8677,True
E9#r1#routed_models,E9,deepseek-chat,intent,759,10,640,0.0000,623.2385,True
E9#r1#routed_models,E9,deepseek-reasoner,responder,867,283,768,0.0001,3835.1244,True
E10#r1#routed_models,E10,deepseek-chat,intent,705,9,640,0.0000,680.6993,True
E10#r1#routed_models,E10,deepseek-reasoner,responder,990,390,896,0.0001,4501.1976,True
E11#r1#routed_models,E11,deepseek-chat,intent,717,9,640,0.0000,532.1130,True
F9#r1#routed_models,F9,deepseek-chat,intent,696,8,640,0.0000,635.0637,True
F9#r1#routed_models,F9,deepseek-chat,planner,97,299,0,0.0001,3196.3089,True
F9#r1#routed_models,F9,deepseek-reasoner,responder,1631,825,512,0.0004,10685.3479,True
F10#r1#routed_models,F10,deepseek-chat,intent,688,8,640,0.0000,1012.0400,True
F10#r1#routed_models,F10,deepseek-chat,planner,89,275,0,0.0001,2519.4909,True
F10#r1#routed_models,F10,deepseek-reasoner,responder,1260,289,512,0.0002,4056.2457,True
F11#r1#routed_models,F11,deepseek-reasoner,responder,809,379,768,0.0001,4584.8001,True
F11#r1#routed_models,F11,deepseek-reasoner,responder,947,290,768,0.0001,3528.5041,True
F12#r1#routed_models,F12,deepseek-chat,intent,730,10,640,0.0000,613.9883,True
F13#r1#routed_models,F13,deepseek-chat,intent,759,9,640,0.0000,930.7445,True
F13#r1#routed_models,F13,deepseek-chat,memory,584,91,512,0.0000,1166.8788,True
F13#r1#routed_models,F13,deepseek-chat,memory,200,79,128,0.0000,1006.1536,True
F14#r1#routed_models,F14,deepseek-chat,intent,756,10,640,0.0000,817.0161,True
F14#r1#routed_models,F14,deepseek-reasoner,responder,1373,471,1280,0.0001,5509.4191,True
F14#r1#routed_models,F14,deepseek-reasoner,responder,1503,820,1408,0.0002,8079.3011,True
F15#r1#routed_models,F15,deepseek-chat,intent,694,9,640,0.0000,698.7262,True
F16#r1#routed_models,F16,deepseek-chat,intent,757,8,640,0.0000,568.4228,True
F16#r1#routed_models,F16,deepseek-reasoner,responder,728,214,640,0.0001,3025.6604,True
F17#r1#routed_models,F17,deepseek-chat,intent,762,10,640,0.0000,594.3393,True
F17#r1#routed_models,F17,deepseek-reasoner,responder,1306,557,1280,0.0002,5508.1606,True
G8#r1#routed_models,G8,deepseek-reasoner,responder,679,269,640,0.0001,3308.9765,True
G8#r1#routed_models,G8,deepseek-reasoner,responder,811,248,768,0.0001,2883.7420,True
G9#r1#routed_models,G9,deepseek-chat,intent,739,10,640,0.0000,825.1729,True
G9#r1#routed_models,G9,deepseek-reasoner,responder,944,161,512,0.0001,1978.7093,True
G10#r1#routed_models,G10,deepseek-reasoner,responder,674,181,640,0.0001,2464.4411,True
G11#r1#routed_models,G11,deepseek-chat,intent,728,9,640,0.0000,657.7789,True
G11#r1#routed_models,G11,deepseek-chat,memory,506,90,384,0.0000,1072.8109,True
G11#r1#routed_models,G11,deepseek-chat,memory,122,74,0,0.0000,893.7462,True
G12#r1#routed_models,G12,deepseek-chat,intent,693,10,640,0.0000,541.2943,True
G12#r1#routed_models,G12,deepseek-reasoner,responder,672,497,640,0.0001,5558.1231,True
G13#r1#routed_models,G13,deepseek-reasoner,responder,628,337,512,0.0001,3971.5540,True
G14#r1#routed_models,G14,deepseek-reasoner,responder,668,1199,640,0.0003,11414.7045,True
G15#r1#routed_models,G15,deepseek-reasoner,responder,617,254,512,0.0001,3149.8960,True
G16#r1#routed_models,G16,deepseek-chat,intent,704,9,640,0.0000,815.8855,True
